loop|id|group|activity|description
0|A|23|yoga|Feel limitless powered by our nulu fabric these butterysoft tights will have you bending and stretching with ease
1|B|67|test|Dinosaurs are from once upon a time.
2|C|23|yoga|feel limitless powered by our nulu fabric these butterysoft tights will have you bending and stretching with ease
3|D|40|on the move|this insulated tumbler has a folding straw lid and slipfree texture for easy drinking from first til last sip
4|E|20|on the move|a reputation a vibe a way of life designed in la for you we made these shorts with french terry fabric for softness you can take anywhere
5|F|23|yoga|stand out during sweaty studio workouts in these highrise tights made with fabric thats engineered to keep you feeling cool yet covered
6|G|66|yoga and training|voted most likely to be worn multiple times a week this allsport bra is a favourite for comfort and versatility
7|H|21|yoga|from sun salutations to restful moments in savasana this yoga tank flows with you the flexible ribbed texture with a cool smooth sensation feels great next to your skin
8|I|73|training|train hard adventure harder the abrasionresistant fabric on these versatile joggers can handle burpees and backpacking
9|J|11|on the move|the ones youll reach for these soft underwear move with you and dont dig in
10|K|94|yoga|practice after practice youll reach for this sweatwicking antistink yoga tankthis version has a pretty pleated back
11|L|18|yoga and training|stretch after stretch lift after lift workout after workout youll reach for this sweatwicking racerback tank
12|M|78|yoga|the essential you reach for practice after practice we designed this stretchy sweatwicking tank to be the easiest decision of your day
13|N|57|running|a drop in temperature shouldnt mean you drop your routine strategically placed mesh panels on this top keep you ventilated in just the right places while you run
14|O|82|running|be ready for changing weather on runs and hikes this stretchy waterrepellent jacket packs into its own pocket when you dont need it
15|P|30|running|run or hike rain or shine this stretchy waterrepellent jacket packs into its own pocket so you can keep it on hand for when the weather changes
16|Q|76|on the move|its the little things keep them close with this nano version of your favourite backpack clip it onto a pack or slide it through a beltbag strap for an extra dose of storage
17|R|43|on the move|put your temperature on cruise control this versatile merino wool sweater is naturally thermoregulating
18|S|8|on the move|when you want more than just a pretty pony this scrunchie is a little extra wide for a little extra flair
19|T|94|training|your favourite sweats got an upgrade made from workoutfriendly fabric this top is equally as comfortable at home and at the gym
20|U|86|training|barbells burpees and beyond this mediumsupport bra has wide straps and a back keyhole to give you the support and ventilation you need
21|V|45|on the move|these carefree crops feel like easy days and warm nights tie the wrap front in a bow and youre ready for good times
22|W|6|on the move|heres your hot tip of the day a oneanddone utilityinspired jumpsuit the adjustable waist can be worn cinched or slouchy
23|X|76|on the move|tiny bag big impact keep exactly what you need all in one placelike your earbuds and hand sanitizer just clip and go
24|Y|4|on the move|that everythinginitsplace feeling this lightweight backpack has multiple organization pocket and a classic fold over closure
25|Z|31|on the move|this lightweight tank pairs well with afternoon walks in the sun tie the front tight or wear it a little relaxed whatever suits your mood
26|AA|7|yoga and training|train flow or just chill in the fanfavourite wunder under collectionultracomfort thanks to minimal seams and a wide waistband
27|AB|84|yoga and training|train flow and restore in the versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
28|AC|41|yoga|weve updated these versatile tights with a super high rise for extra coverage the secondskin fit makes them perfect for yoga or the gym
29|AD|84|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
30|AE|41|yoga|these versatile super highrise tights were designed to fit like a second skinperfect for yoga or the gym
31|AF|84|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection luxtreme fabric makes these tights a sweaty staple
32|AG|84|yoga and training|train flow and restore in the versatile wunder under collection ribbed luxtreme fabric makes these tights a sweaty staple
33|AH|23|on the move|get moving through day these socks have breathable construction and hug your feet with 360 support
34|AI|19|on the move|a classic chino done our way these pants powered by abc technology come equipped with hidden pockets and stretchy fabric to keep up with your daily agenda
35|AJ|19|on the move|the good stuff these boxers feature an ergonomic design and supersoft quickdrying fabric for total comfort while working out or on the go
36|AK|74|training|own your workouts in these ventilated tights mesh fabric panels and fastdrying everlux fabric keep comfort levels high as you work up a sweat
37|AL|7|training|take your training by storm  with a mesh fabric overlay for  breathable coverage these  tights are built to withstand  a hit of sweat and dynamic  movement
38|AM|94|training|scrunchies a classic for a reason this lightweight version keeps hair out of the way while you train
39|AN|99|training|keep sweaty locks out of the way with this lightweight scrunchie
40|AO|7|swim|the water awaits this pullon swim top is made in textured smocked fabric and features a vneck and vback
41|AP|97|on the move|two looks in one say no more wear this reversible shirt jacket with the waterrepellent side out or flip to the flannel side for a laidback cozy vibe
42|AQ|27|on the move|designed with a padded harness for optimal comfort this spacious tote has all the organization you need for  a day of going places
43|AR|27|on the move|designed with a padded harness for optimal comfort this spacious tote has all the organization you need for a day of going places
44|AS|25|training|train hard not hot powered by everlux the wunder train collection is highly breathable and quickly wicks sweat so you feel less sweaty during and after your workout
45|AT|25|training|train hard not hot powered by everlux our fastestdrying fabric the wunder train collection manages heat and sweat so you stay comfortableand focused
46|AU|97|on the move|how do you like your cozy wear this wool meditation wrap long or flip it upside down for a shorter look with a cascading collar
47|AV|5|running|as reliable as your favourite run route powered by our supportive luxtreme fabric these shorts always deliver with lots of pockets and a hit of reflectivity
48|AW|5|running|as reliable as your favourite run route powered by luxtreme fabric these crops deliver with plenty of pockets and a hit of reflectivity
49|AX|5|running|as reliable as your favourite run route made from sweatwicking luxtreme fabric these shorts always deliver with lots of pockets and a hit of reflectivity
50|AY|97|on the move|after all the reps and sets comes rest make your downtime a little softer and a lot more comfy in this cotton french terry hoodie
51|AZ|88|on the move|your day isnt one dimensional and neither is this bag wear it around your neck or crossbody and use the shock cord adjustor to customize the length
52|BA|12|on the move|just you and the outdoors this merino woolblend mock neck has seamless construction to provide distractionfree warmth
53|BB|75|on the move|for days in perpetual motion these structured pants have plenty of stretch and multiple pockets to keep what you need on hand
54|BC|76|on the move|phone keys wallet plus a little extra this large version of our everywhere belt bag has the same great shape with an added litre for your essentials for now you can purchase up to 5 items of the same colour or 10 of different colours
55|BD|4|on the move|your day just got softer with a puffy quilted exterior this crossbody bag offers a cushioned landing for your essentials
56|BE|76|on the move|a perfect travel companion this tote fits your big things and organizes your little things multiple pockets on the front and sides let you store and access belongings with ease
57|BF|79|on the move|get up and go these pullon athleticinspired shorts are perfect for dashing from afternoon hangs to sunset strolls
58|BG|59|running|stay warm and on the radar as you power through latenight runs this top offers the perfect blend of warmth breathability and reflectivity
59|BH|13|on the move|throw on this sweatshirt tee after the gym to keep that postworkout energy going all day a lightweight smooth fabric overlay helps keep the sporty vibes alive
60|BI|27|training|push through your workout in this tee made with mesh details for highsweat comfort because sometimes a rush of fresh air is all the motivation you need
61|BJ|79|on the move|be ready for everything the day throws at you this naturally breathable doubleknit hoodie moves from workouts to whatever comes next
62|BK|51|on the move|this vest is designed to give you the warm and fuzzies burrow into the soft textured fleece fabric for an instant dose of cozy comfort
63|BL|74|training|when the workout gets tough this abrasionresistant long sleeve gets tougherbuilt with mesh fabric for ultimate breathability
64|BM|75|running|take your workout from indoors to outdoors these track and train shorts come with plenty of pockets and no zippers so you can run train or hit up hot yoga
65|BN|75|hiking|detours welcome zippers at the knee transform these hiking pants into shorts so you can adapt to any terrain temperature or weather
66|BO|32|training|these tights are engineered to support you through highintensity workouts interior gripping is mapped to hold the tights in place and help stabilize major muscle groups
67|BP|3|yoga|you can have it all coverage for a cd cup up front and a strappy open back that allows full range of motion
68|BQ|78|training|designed with multisport training in mind this longline bra has the support and coverage you need to take you through any sweaty activity
69|BR|6|on the move|take it outside these waterrepellent wideleg joggers have a high rise and hidden elasticized waistband to create a sleek fit
70|BS|13|on the move|we designed this super soft long sleeve to help keep you cool and comfortable after your workout
71|BT|90|swim|the suns out and youre ready for it this top gives you sun protection and has back panels that give you airflow without falling open
72|BU|3|swim|jump in this swim top isnt your typical triangle bikini builtin cups give you shape and coverage
73|BV|79|on the move|this classic ball cap will be your goto for everything from your morning run to brunch with the girls or an afternoon hikechoose your adventure
74|BW|79|on the move|be ready for everything the day throws at you this naturally breathable doubleknit half zip moves from workouts to whatevers next
75|BX|8|on the move|meet your new rain or shine favourite we made this shirt jacket from waterresistant cottonblend fabric so every days a good day to wear it
76|BY|21|yoga and training|plunge into your practice in this soft studio tank light stretchy nulu fabric feels as good as sinking into savasana
77|BZ|76|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
78|CA|76|on the move|phone keys wallet keep them close in this belt bag that helps you get out the door and on to your next adventure this version is made from plush velour fabric for now you can purchase up to 5 items of the same colour or 10 of different colours
79|CB|34|running|who wants a cold neck no one designed to keep your neck warm while your body moves freely
80|CC|87|on the move|thick weighty and warm this cozy pullover gets you from a to b in relaxed comfort even if a is the couch and b is the cafe around the corner
81|CD|80|training|bring on the heat the metal vent breathe collection powered by seamless construction is designed to keep the air flowing during intense sweat sessions
82|CE|90|swim|this reversible top helps shield us from rash and rays during long summer days we made it out of stretchy fabric that delivers a supersized dose of upf sun protection a high neck adds an extra bit of coverage when were out making waves
83|CF|1|running|this sleek run belt is lightweight breathable and fits all your essentials so you can go the distance
84|CG|1|running|your best pace awaits sleek and lightweight this breathable run belt holds snacks and other essentials so you can go the distance
85|CH|1|running|sleek and lightweight this breathable run belt holds snacks and other essentials so you can go the distance
86|CI|41|yoga|keep on flowing this straightstrap bra offers support with separation and coverage
87|CJ|30|on the move|race against rain clouds this featherlight jacket packs down and snaps around your arm as you run so you stay hands free and prepared for whatever weather is on the horizon
88|CK|75|on the move|sometimes basics are best these naturally breathable joggers have your back and your legs too from workout to hang out
89|CL|46|running|be kind to your feet these lightweight running socks have microcushioning in the heel and toe
90|CM|25|training|train hard not hot powered by everlux fabric the wunder train collection manages heat and sweat so you stay comfortable and focused
91|CN|25|training|train hard not hot poweredby everlux fabric the wundertrain collection manages heatand sweat so you staycomfortable and focused
92|CO|19|training|its all you celebrate your strength in this formfitting training top made with naturally breathable mesh fabric panels to help keep you cool in sweaty studios
93|CP|79|running|make friends with the sun this lightweight running jacket is uvprotective so you can let your shadow chase you from dawn to dusk
94|CQ|59|on the move|chase an endorphin rush in the quiet cold in this warm half zip hoodie that features zones of water protection for uncertain forecasts
95|CR|0|on the move|cold day might rain but you look all happy and cozy in this lightweight waterproof down vest mission accomplished
96|CS|0|on the move|waterproof warmth to the rescue when cold weather sets in this vest is here to bundle you up in soft channels of goose down so all you feel is warm and cozy
97|CT|15|training|ready when you are from burpees to box jumps these twoinone shorts offer airy coverage for challenging training sessions
98|CU|59|running|feel the rhythm of your run using seamless senseknit technology this jacket balances warmth and breathability over long distances
99|CV|13|on the move|restoration starts now these soft shorts feature textured fabric that relaxes over time to keep you comfortable after workouts
100|CW|10|yoga|feels almost as good as savasana powered by weightlessly soft nulu fabric this reversible yoga bra wraps you in buttery softness
101|CX|90|swim|this paddle suit protects you from the sun and has a sleek heldin feel
102|CY|22|on the move|the fivepocket jean reinvented these skinnyfit pants powered by abc technology give you freedom of movement and allday comfort
103|CZ|59|on the move|keep warm during intense coldweather activities this highperformance layer is sweatwicking on the inside and insulating on the outside
104|DA|79|on the move|be ready for everything the day throws at you this naturally breathable doubleknit crew moves from workouts to whatevers next
105|DB|65|on the move|sometimes the last thing you reach for is what brings it all together like this textured cottonblend beanie
106|DC|25|training|train hard not hot powered by everlux fabric the wunder train contour fit collection manages heat and sweat while the adjusted hiptowaist ratio fits your curves
107|DD|65|on the move|the one you reach for this longtime fan favourite is soft and comfortable all day long
108|DE|12|on the move|its layering season you know what that means this beanies doubleknit construction of warm woolblend fabrics got you covered
109|DF|25|training|focus on your strength not your sweat powered by everlux our fastest drying fabric the highly breathable invigorate collection handles heat and sweat during intense workouts
110|DG|35|yoga|everything you want in a yoga toplightweight coverage extra ventilation and that butterysoft nulu fabric we know you love
111|DH|51|on the move|amp up the cozy in these sweatpants made from warm fleece fabric pair it with the matching hoodie for head to toe comfort
112|DI|11|on the move|you may have slept through your alarm but these pants will have you flying out the door looking effortlessly put together
113|DJ|8|on the move|all day every day youll want to wear this lightweight perfectlength skirt seven days a week
114|DK|4|on the move|avoid those wheredidiputmyphone moments this crossbody bag is easy to carry doubles as a belt bag and fits your phone and passport
115|DL|76|on the move|your best adventure awaits avoid those wheredidiputmyphone moments this crossbody bag is easy to carry doubles as a belt bag and fits your phone and passport
116|DM|2|on the move|when youre craving casual comfort cozy up in these soft relaxedfitting joggers
117|DN|30|running|there are few things as refreshing as running in the rain wear this waterproof jacket over your favourite base layer and go for it
118|DO|7|on the move|featuring a labexclusive  print this ultralightweight  jacket provides ventilation  when things heat up and packs  into itself when skies clear
119|DP|52|running|keep your head and ears warm during coldweather runs with this soft fitted beanie
120|DQ|0|on the move|we designed this long parka for cold canadian winters using waterproof fabric and 600fillpower goose down
121|DR|35|on the move|whether youre up for adventure or ready for downtime this shortened version of our fanfavourite define jacket has a feelgood fit that can do it all
122|DS|39|on the move|simplify without compromising made in a soft drapey fabric this maxi dress has a high neck and a deepv back
123|DT|12|training|take your workout outdoors we made this jacket with panels of technical mesh fabric for that breezy feeling on sweaty skin
124|DU|10|yoga|feels almost as good as savasana this ribbed version of the BrightJupiter align yoga bra wraps you in buttery softness
125|DV|23|yoga|add some flair to your practice with these butterysoft yoga crops that have a slit back hem for unrestricted movement
126|DW|78|training|go all out these versatile training tights give you lockedin support and distractionfree bonded construction so you can focus on powering through your workout
127|DX|6|training|cool and focused these superbreathable tights feature an elastic waistband that stays in place as you train
128|DY|10|training|breathe and sweat easy in this allsport bra
129|DZ|29|swim|gotta love a onepiece especially one with uv protection and straps you can tie in different ways
130|EA|48|swim|this versatile one piece is ready for the sun thanks to fabric with uv protection reconfigure the straps at the back for a different look every time you hit the beach
131|EB|27|on the move|dont sweat the small stuff these socks pack the features you need for all day comfort in a noshow design that will stay hidden in your shoes
132|EC|98|running|conquer coldweather runs wear these warm brushed half tights on their own or layer them under a pair of shorts
133|ED|94|training|scrunchies a classic for a reason this lightweight version keeps your hair back and out of the way while you train
134|EE|49|yoga|float from pose to pose in this butterysoft tank top it has a builtin shelf bra for gentle support
135|EF|94|training|set the groundwork for a strong workout these socks hug the shape of your foot for a distractionfree fit as you move
136|EG|83|yoga|the BrightJupiter align collection is so weightless and buttery soft all you feel is your practice this special edition tee has a mesh fabric crossover detail on the back
137|EH|4|on the move|clip this pouch onto your keychain or bag to keep your cards and cash handy
138|EI|94|training|we created a longline version of this fan favourite bra to give you an extra inch of style for yoga and gym workouts
139|EJ|7|on the move|we combined your favourite shirt and puffy coat  this reversible piece is soft and sweatwicking on one side and waterrepellent on the other
140|EK|94|on the move|tackle your todo list without breaking a sweat this boxy blouse has lots of room for airflow so busy days are a breeze
141|EL|39|golf|tee off in comfort this breathable golf polo is made with fourway stretch fabric to make swings and putts a breeze
142|EM|19|on the move|these trouserinspired pants bring total comfort to the every day wrinklefree performance fabric keeps things easy
143|EN|49|yoga|reach the fullest expression of your poses in this longline bra with a strappy open back
144|EO|88|yoga|we added eyelets to this nofuss mat strap so you have a spot to attach your off the mat pouch keys and more
145|EP|88|yoga|a nofuss mat strap perfect for carrying well your mat it doubles as a strap to help you stretch how about that
146|EQ|7|yoga|a supersimplified yogamat strap made for the reversible un mat the reversible big mat and everything in between
147|ER|7|yoga|we designed this yoga mat strap with a bucklefree closure on each end to make postsavasana rollups a breeze
148|ES|88|yoga|this nofuss mat strap is the perfect way to move to and from class with added eyelets so you can to attach your off the mat pouch and keys
149|ET|88|yoga|we added eyelets to this supersimplified yoga mat strap so you can attach your off the mat pouch your keys and more
150|EU|83|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and butterysoft all you feel is your practice
151|EV|83|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and buttery soft all you feel is your practice
152|EW|48|on the move|a classic short sleeve youll reach for again and again the scooped back hem adds length for when you want a bit more coverage
153|EX|42|on the move|lots of reasons to love this long sleeve soft fabric just the right stretch and a casual fit for every day of the week
154|EY|71|on the move|when life gets busy these versatile relaxedfitting pants keep up
155|EZ|23|running|we mapped the movement and impact of a runners foot to create these socks that cushion hug and breathe in all the right places
156|FA|23|running|designed for the movement and impact of a runners foot these socks cushion hug and breathe in all the right places
157|FB|23|running|your best pace awaits we mapped the movement and impact of a runners foot tocreate these socks thatcushion hug and breathe inall the right places
158|FC|77|running|take longdistance runs further powered by senseknit technology this onepiece offers unrestricted running freedom and targeted support so you feel energized with every stride
159|FD|30|running|add another mile to frosty runs this insulated vest has integrated storage so you can take your gloves beanie and water bladder with you on brisk days
160|FE|75|running|when runs turn into coffee runs these sweatwicking and lightweight shorts are up for it
161|FF|61|running|with cuffed hems and
